Region,p_2002,p_2022,change
Belgorod region,1511620,1530222,101%
Bryansk region,1378941,1167806,85%
Vladimir region,1523990,1322166,87%
Voronezh region,2378803,2285240,96%
Ivanovo region,1148329,976144,85%
Kaluga region,1041641,1019668,98%
Kostroma region,736641,620658,84%
Kursk region,1235091,1081905,88%
Lipetsk region,1213499,1113584,92%
Moscow region,6618538,7765918,117%
Oryol region,860262,713043,83%
Ryazan region,1227910,1083834,88%
Smolensk region,1049574,908659,87%
Tambov region,1178443,979504,83%
Tver region,1471459,1228698,84%
Tula region,1675758,1430942,85%
Yaroslavl region,1367398,1226062,90%
The City of Moscow,10382754,12632409,122%
Republic of Karelia,716281,602458,84%
Republic of Komi,1018674,803208,79%
Arkhangelsk region,1336539,1113155,83%
Nenets autonomous district,41546,44483,107%
Vologda region,1269568,1138694,90%
Kaliningrad region,955281,1026472,107%
Leningrad region,1669205,1907590,114%
Murmansk region,892534,724179,81%
Novgorod region,694355,585247,84%
Pskov region,760810,612458,81%
The City of Saint-Petersburg,4661219,5376672,115%
Republic of Adygeya,447109,468190,105%
Republic of Dagestan,2576531,3154677,122%
Republic of Ingushetia,467294,523955,112%
Kabardino-Balkarian Republic ,901494,869735,96%
Republic of Kalmykia,292410,267517,91%
Karachaevo-Chercessian Republic,439470,463913,106%
Republic of North Ossetia - Alania,710275,687674,97%
Chechen Republic,1103686,1516882,137%
Krasnodar territory,5125221,5681962,111%
Stavropol territory,2735139,2777531,102%
Astrakhan region,1005276,989345,98%
Volgograd region,2699223,2446461,91%
Rostov region,4404013,4149835,94%
Republic of Bashkortostan,4104336,4001052,97%
Republic of Marij El,727979,670730,92%
Republic of Mordovia,888766,769142,87%
Republic of Tatarstan,3779265,3886640,103%
Udmurtian Republic,1570316,1483539,94%
Chuvashi  Republic,1313754,1197866,91%
Kirov region,1503529,1234448,82%
Nizhnij Novgorod region,3524028,3141015,89%
Orenburg region,2179551,1921908,88%
Penza region,1452941,1272697,88%
Perm region+Komi-Permyatski autonomous district,2955497,2555042,86%
Samara region,3239737,3129410,97%
Saratov region,2668310,2357476,88%
Ulyanovsk region,1382811,1202811,87%
Kurgan region,1019532,804769,79%
Sverdlovsk region,4486214,4261084,95%
Tyumen region,3264841,3807658,117%
Khanty-Mansijsk autonomous district - Yugra,1432817,1702452,119%
Yamalo-Nenets autonomous district,507006,552788,109%
Chelyabinsk region,3603339,3416613,95%
Republic of Altai,202947,221402,109%
Republic of Buryatia,981238,981487,100%
Republic of Tuva,305510,332518,109%
Republic of Khakassia,546072,528316,97%
Altai territory,2607426,2266739,87%
Krasnoyarsk territory+Taimyr (Dolgano-Nenets) autonomous district+Evenk autonomous district,3023525,2846565,94%
Irkutsk region+Ust-Ordyn Buryat autonomous district,2717032,2356542,87%
Kemerovo region,2899142,2603638,90%
Novosibirsk region,2692251,2779375,103%
Omsk region,2079220,1879242,90%
Tomsk region,1046039,1068480,102%
Chita region + Aginsky Buryat autonomous district = Zabaykalsky Krai,1227559,1042993,85%
Republic of Sakha (Yakutia),949280,990538,104%
Primorie territory,2071210,1860429,90%
Khabarovsk territory,1436570,1298233,90%
Amur region,902844,771889,85%
Kamchatka region+Koryak autonomous district ??,383958,312337,81%
Magadan region,182726,137529,75%
Sakhalin region,546695,484207,89%
Jewish autonomous region,190915,153712,81%
Chukotka autonomous district,53824,50294,93%
,147.6,145.4,
